INDNAICS,ABOVE_LW,ABOVE_LW_cv,BELOW_LW,BELOW_LW_cv,LW_SHARE
3113,5158,0.07693848618219887,4225,0.08513927280613509,0.5497175743365661
3114,4103,0.0996671275992785,2625,0.1349799548400309,0.6098394768133175
3115,2753,0.09879276046873924,1594,0.13692154929683334,0.6333103289625028
3116,6431,0.08666416433146452,8626,0.07533241333502477,0.4271103141396028
311811,2218,0.11999585352449524,5925,0.07852840091922304,0.27238118629497726
3118Z,6203,0.07846338592862696,7626,0.07295290264921434,0.44855014823920747
311M1,3901,0.09333755572074055,2207,0.14477835095282904,0.6386705959397512
311M2,6972,0.08288103929190109,4658,0.09390882529986114,0.5994840928632846
311S,1407,0.13723451963810437,1260,0.22292801749133123,0.5275590551181102
3121,5730,0.08856019179839755,1887,0.13114119323896645,0.7522646711303663
3122,229,0.29304856643729815,245,0.2951220813473505,0.4831223628691983
3131,75,0.8852871473896666,0,NaN,1
3132Z,923,0.20427851054427804,711,0.1959313846101696,0.5648714810281518
3133,104,0.563173495554145,45,0.636929362131845,0.697986577181208
31411,275,0.40409719802857513,107,0.5276567977558996,0.7198952879581152
314Z,948,0.20502188509057176,1821,0.13817996381509212,0.3423618634886241
3152,2197,0.15115905636520235,3e3,0.12329206516776872,0.42274389070617663
3159,122,0.39153396327351675,289,0.36154202403821883,0.29683698296836986
3162,77,0.5868204488286294,126,0.611708633876359,0.3793103448275862
316M,100,0.5646237685397242,642,0.25619738633661865,0.1347708894878706
31M,78,0.840100726561542,207,0.37152553873580113,0.2736842105263158
3211,494,0.30593266822765935,522,0.3317502151505233,0.4862204724409449
3212,78,0.6178968485518934,227,0.35844388658964715,0.25573770491803277
32199M,74,0.5264983488313453,91,0.4604579188031496,0.4484848484848485
3219ZM,2543,0.13493760301768665,2756,0.11969173770252452,0.4799018682770334
3221,3192,0.08445094964511475,3468,0.11103452171760485,0.47927927927927927
32221,3882,0.09336676703402738,2299,0.11550121162135522,0.6280537129914253
3222M,2713,0.10986342570252819,1809,0.125649055887965,0.5999557717823971
3231,21566,0.04003004002014148,13279,0.051619342135059025,0.6189123260152102
32411,7033,0.07374168207879926,1287,0.17919388274049178,0.8453125
3241M,894,0.2120722477825823,193,0.39301465930691737,0.8224471021159153
3252,5266,0.0796733551945607,5709,0.09549944597778279,0.47981776765375855
3253,639,0.19610331073772574,230,0.3813467330564856,0.7353279631760644
3254,22606,0.03737392163108715,4724,0.08080108718061753,0.8271496523966337
3255,3219,0.10699193123375073,1141,0.17465641073687108,0.738302752293578
3256,3674,0.07629348056147381,3643,0.10522225269522192,0.5021183545168785
325M,11953,0.0504018156716744,3356,0.10332979225870217,0.7807825462146449
3261,13237,0.05191070054573055,9666,0.0695732291220673,0.5779592193162468
32621,552,0.24172905947725273,284,0.28320346141148306,0.6602870813397129
3262M,1319,0.15948152130734258,966,0.1641594787676406,0.5772428884026258
32711,483,0.32398977260440104,123,0.42082105017384336,0.7970297029702971
327120,317,0.2798055686471541,261,0.325339024458444,0.5484429065743944
3272,2021,0.14098674068833886,1731,0.17093846986189903,0.5386460554371002
3279,1858,0.12305410855733406,1046,0.20758063033927018,0.6398071625344353
327M,3641,0.10730621599126468,1472,0.16667518906416356,0.7121063954625465
3313,2027,0.15266323640178658,1110,0.185613244680775,0.6461587503984699
3314,1788,0.14900104572654638,715,0.2218009411372364,0.7143427886536157
3315,2338,0.11472145167023519,1298,0.23210974009298213,0.643014301430143
331M,27201,0.03678147599392455,6990,0.05714191987464798,0.7955602351496007
3321,2321,0.1065506086886992,1247,0.18718516488237716,0.6505044843049327
3322,2033,0.15228053955131157,1225,0.17594421894431495,0.6240024554941682
3327,8227,0.06594883949796398,4529,0.0900358496284785,0.6449513954217623
3328,3246,0.10147696140079253,2031,0.12546549826080658,0.6151222285389426
33299M,282,0.33576991608459705,231,0.3844365463650257,0.5497076023391813
332M,8646,0.06867191276430099,4757,0.08588595366692492,0.6450794598224279
332MZ,11048,0.07397586201075308,7012,0.07393042427707454,0.6117386489479513
33311,1982,0.12393926007208007,1107,0.2309642579022196,0.6416315959857559
3331M,6984,0.06739196539323561,1908,0.11941792558599969,0.7854251012145749
3333,3761,0.09407612160845209,1302,0.15736172636389775,0.7428402133122655
3335,7262,0.0752611883859749,2814,0.10922199554385706,0.7207225089321159
3336,2472,0.12102539712428727,613,0.23107222378852632,0.8012965964343598
333MS,20980,0.035693997475463486,8435,0.0635107934625522,0.7132415434302227
3341,3162,0.08924885835118959,1100,0.18149152474349597,0.7419052088221493
3345,6361,0.06943795955593886,2073,0.10473982386093666,0.7542091534266065
334M1,10877,0.053553255066974094,2787,0.12565995390800924,0.7960333723653396
334M2,13706,0.053589904675693426,6099,0.07372602630645544,0.6920474627619289
3352,1454,0.1564710460280447,468,0.24612565128174238,0.7565036420395421
335M,13360,0.050562870351197026,7888,0.07335640098986757,0.6287650602409639
33641M1,3408,0.10357297504333286,930,0.15616016899746157,0.7856154910096819
33641M2,2155,0.1322675936465409,834,0.2599974132352828,0.7209769153563065
3365,2403,0.11825324241137548,742,0.19968571145580102,0.7640699523052464
3366,439,0.354120357620777,255,0.3306094008529306,0.6325648414985591
3369,454,0.2764128501555289,218,0.33937979695110143,0.6755952380952381
336M,24293,0.03598496408898553,14078,0.0497812279236185,0.6331083370253577
337,6967,0.08122094545303699,7298,0.08235899504184195,0.4883981773571679
3391,16452,0.047363286937376785,6920,0.07184831006032902,0.7039192195789834
3399M,2410,0.11850247561978515,1749,0.1582157015831781,0.5794662178408271
3399ZM,16048,0.054273320234712,13958,0.06141447346592817,0.5348263680597214
33MS,1070,0.17791579727424708,1177,0.16265530369302764,0.47619047619047616
3MS,16205,0.06033437636003632,22473,0.04965141894423539,0.4189720254408191
